excise_tax_nbr,major,minor,sale_date,sale_month,sale_year,sale_price,year_built,year_renovated,lon,lat
2968048,754830,501,2018-12-21,12,2018,775000,2015,0,-122.3097347,47.5874725
2941209,85360,30,2018-06-30,6,2018,1875000,1998,0,-121.9539184,47.6142771
2947206,333100,475,2018-08-09,8,2018,449950,1909,0,-122.286064,47.5520296
2913874,172304,9343,2018-02-02,2,2018,435000,1951,0,-122.3237226,47.4811689
2943521,670039,150,2018-07-11,7,2018,355000,1992,0,-122.1883871,47.403446
2954970,416795,500,2018-09-19,9,2018,435000,1990,0,-122.3544658,47.315814
2963430,252530,280,2018-11-07,11,2018,315000,1969,0,-122.0291291,47.3641929
2926181,401080,145,2018-04-18,4,2018,269950,1956,0,-122.1037364,47.43566879999999
2956052,714060,270,2018-09-28,9,2018,310500,1957,0,-122.2157677,47.2914282
2942396,222505,9081,2018-06-21,6,2018,10,1996,0,-122.1625657,47.6337262
2950456,359860,50,2018-08-28,8,2018,360000,1932,1947,-122.3013209,47.47580290000001
2943044,800960,90,2018-07-16,7,2018,690000,1950,0,-122.3888015,47.5772645
2955992,412700,165,2018-10-04,10,2018,530000,2006,0,-122.0373276,47.3726484
2956965,186470,310,2018-10-09,10,2018,439997,2007,0,-122.0579836,47.3577013
2937240,192300,20,2018-06-04,6,2018,875000,1983,0,-122.2127084,47.56392330000001
2926795,379731,20,2018-04-17,4,2018,400000,1995,0,-122.0113732,47.1927281
2941718,381975,150,2018-07-10,7,2018,549000,1987,0,-122.2382969,47.76993359999999
2933745,82407,9068,2018-05-09,5,2018,500000,1985,0,-121.9365557,47.5818267
2918415,788360,1551,2018-03-01,3,2018,217000,1938,0,-122.3270483,47.5241201
2945920,795030,3340,2018-07-23,7,2018,725000,1920,0,-122.2831032,47.5636918
2945849,256820,590,2018-07-31,7,2018,1040000,2005,0,-122.1022768,47.70718979999999
2952318,242306,9172,2018-09-05,9,2018,960000,1988,0,-121.9917749,47.4667559
2953280,750415,10,2018-09-17,9,2018,908500,1977,0,-122.0568452,47.6281461
2947352,385690,4280,2018-08-03,8,2018,981500,1907,0,-122.3271939,47.6695754
2955122,200600,70,2018-09-26,9,2018,300000,1966,0,-122.1253189,47.4825751
